free_right,free_left,ego_speed,during_change,distance_front,distance_back,speed_front,speed_back,occup_front,occup_back,ego_lanes,action,free_right',free_left',ego_speed',during_change',distance_front',distance_back',speed_front',speed_back',occup_front',occup_back',ego_lanes',r_deltaspeed,r_freeright,r_lanechange,r_safetyviolation,r_distancefront,r_jerk,done
0.0,1.0,0.7904049080937157,0.0,[0.12386712 1.         1.        ],[1. 1. 1.],[0.84945404 1.         1.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[1. 0. 0.],0,0.0,1.0,0.7920722902317637,0.0,[0.12535143 1.         1.        ],[1. 1. 1.],[0.84542976 1.         1.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[1. 0. 0.],-0.20792770976823627,0,0,0,-0.874648570405905,-0.039027862864786655,False
0.0,1.0,0.7920722902317637,0.0,[0.12535143 1.         1.        ],[1. 1. 1.],[0.84542976 1.         1.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[1. 0. 0.],0,0.0,1.0,0.7888197310635416,0.0,[0.12696288 1.         1.        ],[1. 1. 1.],[0.84674773 1.         1.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[1. 0. 0.],-0.21118026893645842,0,0,0,-0.8730371188170984,-0.3763755099296695,False
0.0,1.0,0.7888197310635416,0.0,[0.12696288 1.         1.        ],[1. 1. 1.],[0.84674773 1.         1.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[1. 0. 0.],0,0.0,1.0,0.7907227646583558,0.0,[0.12849057 1.         1.        ],[1. 1. 1.],[0.84563958 1.         1.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[1. 0. 0.],-0.20927723534164416,0,0,0,-0.8715094327987808,-0.39440284637228373,False
0.0,1.0,0.7907227646583558,0.0,[0.12849057 1.         1.        ],[1. 1. 1.],[0.84563958 1.         1.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[1. 0. 0.],0,0.0,1.0,0.7902740554571943,0.0,[0.13005811 1.         1.        ],[1. 1. 1.],[0.84662354 1.         1.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[1. 0. 0.],-0.2097259445428057,0,0,0,-0.8699418927312021,-0.17990832389214617,False
0.0,1.0,0.7902740554571943,0.0,[0.13005811 1.         1.        ],[1. 1. 1.],[0.84662354 1.         1.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[1. 0. 0.],0,0.0,1.0,0.7918403822548209,0.0,[0.1315629 1.        1.       ],[1. 1. 1.],[0.84593421 1.         1.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[1. 0. 0.],-0.20815961774517905,0,0,0,-0.8684371009180595,-0.15415025390729475,False
0.0,1.0,0.7918403822548209,0.0,[0.1315629 1.        1.       ],[1. 1. 1.],[0.84593421 1.         1.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[1. 0. 0.],0,0.0,1.0,0.7917827321914392,0.0,[0.13315722 1.         1.        ],[1. 1. 1.],[0.84909499 1.         1.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[1. 0. 0.],-0.2082172678085608,0,0,0,-0.866842778133053,-0.12423422986714172,False
0.0,1.0,0.7917827321914392,0.0,[0.13315722 1.         1.        ],[1. 1. 1.],[0.84909499 1.         1.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[1. 0. 0.],0,0.0,1.0,0.7954253097573237,0.0,[0.13466011 1.         1.        ],[1. 1. 1.],[0.84945069 1.         1.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[1. 0. 0.],-0.20457469024267624,0,0,0,-0.8653398902578646,-0.28306741363887333,False
0.0,1.0,0.7954253097573237,0.0,[0.13466011 1.         1.        ],[1. 1. 1.],[0.84945069 1.         1.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[1. 0. 0.],0,0.0,1.0,0.7963551529363422,0.0,[0.13607507 1.         1.        ],[1. 1. 1.],[0.84721969 1.         1.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[1. 0. 0.],-0.20364484706365787,0,0,0,-0.8639249313216532,-0.20752418059526434,False
0.0,1.0,0.7963551529363422,0.0,[0.13607507 1.         1.        ],[1. 1. 1.],[0.84721969 1.         1.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[1. 0. 0.],0,0.0,1.0,0.7948056853332847,0.0,[0.13751196 1.         1.        ],[1. 1. 1.],[0.8464585 1.        1.       ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[1. 0. 0.],-0.2051943146667153,0,0,0,-0.8624880440489747,-0.18966727482879975,False
0.0,1.0,0.7948056853332847,0.0,[0.13751196 1.         1.        ],[1. 1. 1.],[0.8464585 1.        1.       ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[1. 0. 0.],0,0.0,1.0,0.7946539284150591,0.0,[0.13899821 1.         1.        ],[1. 1. 1.],[0.84808129 1.         1.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[1. 0. 0.],-0.20534607158494092,0,0,0,-0.8610017920215943,-0.10692486738963503,False
