free_right,free_left,ego_speed,during_change,distance_front,distance_back,speed_front,speed_back,occup_front,occup_back,ego_lanes,action,free_right',free_left',ego_speed',during_change',distance_front',distance_back',speed_front',speed_back',occup_front',occup_back',ego_lanes',r_deltaspeed,r_freeright,r_lanechange,r_safetyviolation,r_distancefront,r_jerk,done
1.0,0.0,0.7736465061719535,0.0,[0.87288212 1.         1.        ],[0.29261063 1.         1.        ],[0.84893447 1.         1.        ],[0.84923806 0.         0.        ],[1. 0. 0.],[1. 0. 0.],[0. 0. 1.],0,1.0,0.0,0.7801824538843718,0.0,[0.87471175 1.         1.        ],[0.29077751 1.         1.        ],[0.84595364 1.         1.        ],[0.84607883 0.         0.        ],[1. 0. 0.],[1. 0. 0.],[0. 0. 1.],-0.2198175461156282,-1,0,0,0.0,-0.4999999999999982,False
1.0,0.0,0.7801824538843718,0.0,[0.87471175 1.         1.        ],[0.29077751 1.         1.        ],[0.84595364 1.         1.        ],[0.84607883 0.         0.        ],[1. 0. 0.],[1. 0. 0.],[0. 0. 1.],2,0.0,0.0,0.7867184015967901,1.0,[0.87638451 1.         1.        ],[0.28905304 1.         1.        ],[0.84685016 1.         1.        ],[0.84870919 0.         0.        ],[1. 0. 0.],[1. 0. 0.],[0. 0. 1.],-0.21328159840320993,0,-1,0,0.0,-0.0,False
0.0,0.0,0.7867184015967901,1.0,[0.87638451 1.         1.        ],[0.28905304 1.         1.        ],[0.84685016 1.         1.        ],[0.84870919 0.         0.        ],[1. 0. 0.],[1. 0. 0.],[0. 0. 1.],0,0.0,0.0,0.7932543493092084,1.0,[0.87786171 1.         1.        ],[0.28754572 1.         1.        ],[0.84635651 1.         1.        ],[0.84743911 0.         0.        ],[1. 0. 0.],[1. 0. 0.],[0. 0. 1.],-0.20674565069079165,0,0,0,0.0,-0.0,False
0.0,0.0,0.7932543493092084,1.0,[0.87786171 1.         1.        ],[0.28754572 1.         1.        ],[0.84635651 1.         1.        ],[0.84743911 0.         0.        ],[1. 0. 0.],[1. 0. 0.],[0. 0. 1.],0,0.0,0.0,0.7997902970216266,1.0,[0.87916759 1.         1.        ],[0.28616133 1.         1.        ],[0.84673355 1.         1.        ],[0.84955581 0.         0.        ],[1. 0. 0.],[1. 0. 0.],[0. 0. 1.],-0.20020970297837337,0,0,0,0.0,-0.0,False
0.0,0.0,0.7997902970216266,1.0,[0.87916759 1.         1.        ],[0.28616133 1.         1.        ],[0.84673355 1.         1.        ],[0.84955581 0.         0.        ],[1. 0. 0.],[1. 0. 0.],[0. 0. 1.],0,0.0,0.0,0.8063262447340449,1.0,[0.88032049 1.         1.        ],[0.28501759 1.         1.        ],[0.84777036 1.         1.        ],[0.8474412 0.        0.       ],[1. 0. 0.],[1. 0. 0.],[0. 0. 1.],-0.1936737552659551,0,0,0,0.0,-0.0,False
0.0,0.0,0.8063262447340449,1.0,[0.88032049 1.         1.        ],[0.28501759 1.         1.        ],[0.84777036 1.         1.        ],[0.8474412 0.        0.       ],[1. 0. 0.],[1. 0. 0.],[0. 0. 1.],0,0.0,0.0,0.8128621924464632,1.0,[0.88134222 1.         1.        ],[0.28410799 1.         1.        ],[0.84959123 1.         1.        ],[0.84556025 0.         0.        ],[1. 0. 0.],[1. 0. 0.],[0. 0. 1.],-0.18713780755353682,0,0,0,0.0,-0.0,False
0.0,0.0,0.8128621924464632,1.0,[0.88134222 1.         1.        ],[0.28410799 1.         1.        ],[0.84959123 1.         1.        ],[0.84556025 0.         0.        ],[1. 0. 0.],[1. 0. 0.],[0. 0. 1.],0,0.0,0.0,0.8193981401588815,1.0,[0.88213895 1.         1.        ],[0.28328886 1.         1.        ],[0.84803856 1.         1.        ],[0.84884392 0.         0.        ],[1. 0. 0.],[1. 0. 0.],[0. 0. 1.],-0.18060185984111854,0,0,0,0.0,-0.0,False
0.0,0.0,0.8193981401588815,1.0,[0.88213895 1.         1.        ],[0.28328886 1.         1.        ],[0.84803856 1.         1.        ],[0.84884392 0.         0.        ],[1. 0. 0.],[1. 0. 0.],[0. 0. 1.],0,0.0,0.0,0.8259340878712997,1.0,[0.8827318 1.        1.       ],[0.28270388 1.         1.        ],[0.84724571 1.         1.        ],[0.84696263 0.         0.        ],[1. 0. 0.],[1. 0. 0.],[0.        0.0125448 0.9874552],-0.17406591212870026,0,0,0,0.0,-0.0,False
0.0,0.0,0.8259340878712997,1.0,[0.8827318 1.        1.       ],[0.28270388 1.         1.        ],[0.84724571 1.         1.        ],[0.84696263 0.         0.        ],[1. 0. 0.],[1. 0. 0.],[0.        0.0125448 0.9874552],0,0.0,0.0,0.832470035583718,1.0,[0.88314752 1.         1.        ],[0.28223934 1.         1.        ],[0.84741419 1.         1.        ],[0.84916942 0.         0.        ],[1. 0. 0.],[1. 0. 0.],[0.         0.06989247 0.93010753],-0.16752996441628198,0,0,0,0.0,-0.0,False
0.0,0.0,0.832470035583718,1.0,[0.88314752 1.         1.        ],[0.28223934 1.         1.        ],[0.84741419 1.         1.        ],[0.84916942 0.         0.        ],[1. 0. 0.],[1. 0. 0.],[0.         0.06989247 0.93010753],0,0.0,0.0,0.8390059832961363,1.0,[0.88343599 1.         1.        ],[0.28195658 1.         1.        ],[0.84937578 1.         1.        ],[0.84917057 0.         0.        ],[1. 0. 0.],[1. 0. 0.],[0.         0.12724014 0.87275986],-0.1609940167038637,0,0,0,0.0,-0.0,False
