free_right,free_left,ego_speed,during_change,distance_front,distance_back,speed_front,speed_back,occup_front,occup_back,ego_lanes,action,free_right',free_left',ego_speed',during_change',distance_front',distance_back',speed_front',speed_back',occup_front',occup_back',ego_lanes',r_deltaspeed,r_freeright,r_lanechange,r_safetyviolation,r_distancefront,r_jerk,done
1.0,1.0,0.6539533049038617,0.0,[1. 1. 1.],[0.61453626 1.         1.        ],[1. 1. 1.],[0.7817579 0.        0.       ],[0. 0. 0.],[1. 0. 0.],[0. 1. 0.],2,0.0,0.0,0.66048925261628,1.0,[1. 1. 1.],[0.61113626 1.         1.        ],[1. 1. 1.],[0.78271147 0.         0.        ],[0. 0. 0.],[1. 0. 0.],[0. 1. 0.],-0.33951074738372,0,-1,0,0.0,-0.4999999999999982,False
0.0,0.0,0.66048925261628,1.0,[1. 1. 1.],[0.61113626 1.         1.        ],[1. 1. 1.],[0.78271147 0.         0.        ],[0. 0. 0.],[1. 0. 0.],[0. 1. 0.],0,0.0,0.0,0.6670252003286983,1.0,[1. 1. 1.],[0.60789077 1.         1.        ],[1. 1. 1.],[0.78369285 0.         0.        ],[0. 0. 0.],[1. 0. 0.],[0. 1. 0.],-0.3329747996713017,0,0,0,0.0,-0.0,False
0.0,0.0,0.6670252003286983,1.0,[1. 1. 1.],[0.60789077 1.         1.        ],[1. 1. 1.],[0.78369285 0.         0.        ],[0. 0. 0.],[1. 0. 0.],[0. 1. 0.],0,0.0,0.0,0.6735611480411166,1.0,[1. 1. 1.],[0.60484257 1.         1.        ],[1. 1. 1.],[0.78313731 0.         0.        ],[0. 0. 0.],[1. 0. 0.],[0. 1. 0.],-0.32643885195888345,0,0,0,0.0,-0.0,False
0.0,0.0,0.6735611480411166,1.0,[1. 1. 1.],[0.60484257 1.         1.        ],[1. 1. 1.],[0.78313731 0.         0.        ],[0. 0. 0.],[1. 0. 0.],[0. 1. 0.],0,0.0,0.0,0.6800970957535348,1.0,[1. 1. 1.],[0.60199533 1.         1.        ],[1. 1. 1.],[0.78244859 0.         0.        ],[0. 0. 0.],[1. 0. 0.],[0. 1. 0.],-0.31990290424646517,0,0,0,0.0,-0.0,False
0.0,0.0,0.6800970957535348,1.0,[1. 1. 1.],[0.60199533 1.         1.        ],[1. 1. 1.],[0.78244859 0.         0.        ],[0. 0. 0.],[1. 0. 0.],[0. 1. 0.],0,0.0,0.0,0.6866330434659531,1.0,[1. 1. 1.],[0.59930761 1.         1.        ],[1. 1. 1.],[0.7832506 0.        0.       ],[0. 0. 0.],[1. 0. 0.],[0. 1. 0.],-0.3133669565340469,0,0,0,0.0,-0.0,False
0.0,0.0,0.6866330434659531,1.0,[1. 1. 1.],[0.59930761 1.         1.        ],[1. 1. 1.],[0.7832506 0.        0.       ],[0. 0. 0.],[1. 0. 0.],[0. 1. 0.],0,0.0,0.0,0.6931689911783714,1.0,[1. 1. 1.],[0.59682721 1.         1.        ],[1. 1. 1.],[0.78233374 0.         0.        ],[0. 0. 0.],[1. 0. 0.],[0. 1. 0.],-0.3068310088216286,0,0,0,0.0,-0.0,False
0.0,0.0,0.6931689911783714,1.0,[1. 1. 1.],[0.59682721 1.         1.        ],[1. 1. 1.],[0.78233374 0.         0.        ],[0. 0. 0.],[1. 0. 0.],[0. 1. 0.],0,0.0,0.0,0.6997049388907897,1.0,[1. 1. 1.],[0.5944905 1.        1.       ],[1. 1. 1.],[0.78370422 0.         0.        ],[0. 0. 0.],[1. 0. 0.],[0.0125448 0.9874552 0.       ],-0.30029506110921034,0,0,0,0.0,-0.0,False
0.0,0.0,0.6997049388907897,1.0,[1. 1. 1.],[0.5944905 1.        1.       ],[1. 1. 1.],[0.78370422 0.         0.        ],[0. 0. 0.],[1. 0. 0.],[0.0125448 0.9874552 0.       ],0,0.0,0.0,0.7062408866032079,1.0,[1. 1. 1.],[0.59236922 1.         1.        ],[1. 1. 1.],[0.78249617 0.         0.        ],[0. 0. 0.],[1. 0. 0.],[0.06989247 0.93010753 0.        ],-0.29375911339679206,0,0,0,0.0,-0.0,False
0.0,0.0,0.7062408866032079,1.0,[1. 1. 1.],[0.59236922 1.         1.        ],[1. 1. 1.],[0.78249617 0.         0.        ],[0. 0. 0.],[1. 0. 0.],[0.06989247 0.93010753 0.        ],0,0.0,0.0,0.7127768343156262,1.0,[1. 1. 1.],[0.59045422 1.         1.        ],[1. 1. 1.],[0.78161671 0.         0.        ],[0. 0. 0.],[1. 0. 0.],[0.12724014 0.87275986 0.        ],-0.2872231656843738,0,0,0,0.0,-0.0,False
0.0,0.0,0.7127768343156262,1.0,[1. 1. 1.],[0.59045422 1.         1.        ],[1. 1. 1.],[0.78161671 0.         0.        ],[0. 0. 0.],[1. 0. 0.],[0.12724014 0.87275986 0.        ],0,0.0,0.0,0.7193127820280445,1.0,[1. 1. 1.],[0.58871081 1.         1.        ],[1. 1. 1.],[0.78198417 0.         0.        ],[0. 0. 0.],[1. 0. 0.],[0.18458781 0.81541219 0.        ],-0.2806872179719555,0,0,0,0.0,-0.0,False
