date,storage,inflow,outflow,evaporation,elevation
2017-10-02,44.925,NA,NA,NA,NA
2017-10-03,44.778,NA,NA,NA,NA
2017-10-04,44.672,NA,NA,NA,NA
2017-10-05,44.592,NA,NA,NA,NA
2017-10-06,44.513,NA,NA,NA,NA
2017-10-07,44.432,NA,NA,NA,NA
2017-10-08,44.34,NA,NA,NA,NA
2017-10-09,44.155,NA,NA,NA,NA
2017-10-10,44.076,NA,NA,NA,NA
2017-10-11,43.983,NA,NA,NA,NA
2017-10-12,43.865,NA,NA,NA,NA
2017-10-13,43.774,NA,NA,NA,NA
2017-10-14,43.681,NA,NA,NA,NA
2017-10-15,43.576,NA,NA,NA,NA
2017-10-16,43.499,NA,NA,NA,NA
2017-10-17,43.42,NA,NA,NA,NA
2017-10-18,43.328,NA,NA,NA,NA
2017-10-19,43.251,NA,NA,NA,NA
2017-10-20,NA,NA,NA,NA,NA
2017-10-21,NA,NA,NA,NA,NA
2017-10-22,NA,NA,NA,NA,NA
2017-10-23,NA,NA,NA,NA,NA
2017-10-24,NA,NA,NA,NA,NA
2017-10-25,NA,NA,NA,NA,NA
2017-10-26,44.103,NA,NA,NA,NA
2017-10-27,43.983,NA,NA,NA,NA
2017-10-28,43.879,NA,NA,NA,NA
2017-10-29,43.786,NA,NA,NA,NA
2017-10-30,43.695,NA,NA,NA,NA
2017-10-31,43.604,NA,NA,NA,NA
2017-11-01,43.499,NA,NA,NA,NA
2017-11-02,43.42,NA,NA,NA,NA
2017-11-03,43.315,NA,NA,NA,NA
2017-11-04,43.237,NA,NA,NA,NA
2017-11-05,43.159,NA,NA,NA,NA
2017-11-06,43.12,NA,NA,NA,NA
2017-11-07,43.055,NA,NA,NA,NA
2017-11-08,42.977,NA,NA,NA,NA
2017-11-09,42.951,NA,NA,NA,NA
2017-11-10,42.951,NA,NA,NA,NA
2017-11-11,42.977,NA,NA,NA,NA
2017-11-12,43.029,NA,NA,NA,NA
2017-11-13,43.042,NA,NA,NA,NA
2017-11-14,43.029,NA,NA,NA,NA
2017-11-15,43.042,NA,NA,NA,NA
2017-11-16,43.172,NA,NA,NA,NA
2017-11-17,43.748,NA,NA,NA,NA
2017-11-18,43.971,NA,NA,NA,NA
2017-11-19,44.115,NA,NA,NA,NA
2017-11-20,44.182,NA,NA,NA,NA
2017-11-21,44.3,NA,NA,NA,NA
2017-11-22,44.725,NA,NA,NA,NA
2017-11-23,44.938,NA,NA,NA,NA
2017-11-24,45.071,NA,NA,NA,NA
2017-11-25,45.152,NA,NA,NA,NA
2017-11-26,45.205,NA,NA,NA,NA
2017-11-27,45.245,NA,NA,NA,NA
2017-11-28,45.46,NA,NA,NA,NA
2017-11-29,45.621,NA,NA,NA,NA
2017-11-30,45.729,NA,NA,NA,NA
2017-12-01,45.81,NA,NA,NA,NA
2017-12-02,45.863,NA,NA,NA,NA
2017-12-03,45.918,NA,NA,NA,NA
2017-12-04,45.931,NA,NA,NA,NA
2017-12-05,45.931,NA,NA,NA,NA
2017-12-06,45.918,NA,NA,NA,NA
2017-12-07,45.931,NA,NA,NA,NA
2017-12-08,45.918,NA,NA,NA,NA
2017-12-09,45.904,NA,NA,NA,NA
2017-12-10,45.89,NA,NA,NA,NA
2017-12-11,45.877,NA,NA,NA,NA
2017-12-12,45.836,NA,NA,NA,NA
2017-12-13,45.81,NA,NA,NA,NA
2017-12-14,45.783,NA,NA,NA,NA
2017-12-15,45.756,NA,NA,NA,NA
2017-12-16,45.702,NA,NA,NA,NA
2017-12-17,45.635,NA,NA,NA,NA
2017-12-18,45.594,NA,NA,NA,NA
2017-12-19,45.554,NA,NA,NA,NA
2017-12-20,45.487,NA,NA,NA,NA
2017-12-21,45.433,NA,NA,NA,NA
