date,storage,inflow,outflow,evaporation,elevation
1965-01-01,184.726,12.899,4.191,NA,NA
1965-01-02,185.565,13.701,3.993,NA,NA
1965-01-03,186.354,13.073,3.936,NA,NA
1965-01-04,187.156,13.216,3.936,NA,NA
1965-01-05,187.415,11.606,8.608,NA,NA
1965-01-06,186.885,5.839,11.978,NA,NA
1965-01-07,186.009,4.135,14.272,NA,NA
1965-01-08,184.973,3.922,15.914,NA,NA
1965-01-09,184.331,8.632,16.056,NA,NA
1965-01-10,184.171,14.2,16.056,NA,NA
1965-01-11,183.591,9.346,16.056,NA,NA
1965-01-12,182.802,6.919,16.056,NA,NA
1965-01-13,181.938,6.062,16.056,NA,NA
1965-01-14,181.1,6.348,16.056,NA,NA
1965-01-15,180.322,7.061,16.056,NA,NA
1965-01-16,179.619,7.918,16.056,NA,NA
1965-01-17,178.842,7.061,16.056,NA,NA
1965-01-18,178.226,8.918,16.056,NA,NA
1965-01-19,177.707,10.06,16.056,NA,NA
1965-01-20,177.004,7.918,16.056,NA,NA
1965-01-21,176.314,8.061,16.056,NA,NA
1965-01-22,175.586,7.633,16.056,NA,NA
1965-01-23,174.821,7.204,16.056,NA,NA
1965-01-24,174.044,7.061,16.056,NA,NA
1965-01-25,173.353,8.231,16.226,NA,NA
1965-01-26,172.897,10.943,16.226,NA,NA
1965-01-27,172.946,16.797,16.226,NA,NA
1965-01-28,173.723,25.361,16.367,NA,NA
1965-01-29,178.657,64.355,7.249,NA,NA
1965-01-30,185.38,78.458,0.651,NA,NA
1965-01-31,191.683,73.604,0.651,NA,NA
1965-02-01,196,50.505,0.538,NA,NA
1965-02-02,199.33,38.999,0.453,NA,NA
1965-02-03,201.674,30.693,3.568,NA,NA
1965-02-04,202.858,26.193,12.488,NA,NA
1965-02-05,203.487,24.583,17.302,NA,NA
1965-02-06,203.882,21.87,17.302,NA,NA
1965-02-07,204.153,20.442,17.302,NA,NA
1965-02-08,203.598,16.002,22.427,NA,NA
1965-02-09,202.439,12.858,26.278,NA,NA
1965-02-10,201.279,13.028,26.448,NA,NA
1965-02-11,200.292,15.027,26.448,NA,NA
1965-02-12,199.145,13.001,26.278,NA,NA
1965-02-13,197.912,12.002,26.278,NA,NA
1965-02-14,196.691,12.144,26.278,NA,NA
1965-02-15,195.457,12.002,26.278,NA,NA
1965-02-16,194.162,11.288,26.278,NA,NA
1965-02-17,193.977,15.386,17.528,NA,NA
1965-02-18,195.001,12.218,0.368,NA,NA
