date,storage,inflow,outflow,evaporation,elevation
1965-01-01,1164.405,88.301,NA,NA,NA
1965-01-02,1165.639,74.308,NA,NA,NA
1965-01-03,1168.106,90.566,NA,NA,NA
1965-01-04,1169.339,80.821,NA,NA,NA
1965-01-05,1171.806,101.61,NA,NA,NA
1965-01-06,1173.039,90.166,NA,NA,NA
1965-01-07,1173.039,75.889,NA,NA,NA
1965-01-08,1174.273,89.599,NA,NA,NA
1965-01-09,1175.506,90.166,NA,NA,NA
1965-01-10,1176.74,90.732,NA,NA,NA
1965-01-11,1177.973,90.166,NA,NA,NA
1965-01-12,1177.973,81.836,NA,NA,NA
1965-01-13,1179.207,99.51,NA,NA,NA
1965-01-14,1179.207,85.8,NA,NA,NA
1965-01-15,1179.207,85.8,NA,NA,NA
1965-01-16,1180.44,100.643,NA,NA,NA
1965-01-17,1180.44,86.366,NA,NA,NA
1965-01-18,1180.44,86.649,NA,NA,NA
1965-01-19,1180.44,85.8,NA,NA,NA
1965-01-20,1180.44,85.8,NA,NA,NA
1965-01-21,1180.44,85.8,NA,NA,NA
1965-01-22,1180.44,85.8,NA,NA,NA
1965-01-23,1180.44,86.366,NA,NA,NA
1965-01-24,1182.907,112.654,NA,NA,NA
1965-01-25,1182.907,59.182,NA,NA,NA
1965-01-26,1174.273,-41.319,NA,NA,NA
1965-01-27,1189.075,230.499,NA,NA,NA
1965-01-28,1192.775,102.578,NA,NA,NA
1965-01-29,1196.476,111.922,NA,NA,NA
1965-01-30,1198.943,116.901,NA,NA,NA
1965-01-31,1200.176,102.059,NA,NA,NA
1965-02-01,1198.943,90.213,NA,NA,NA
1965-02-02,1197.709,103.805,NA,NA,NA
1965-02-03,1194.009,85.446,NA,NA,NA
1965-02-04,1190.308,105.834,NA,NA,NA
1965-02-05,1186.608,105.834,NA,NA,NA
1965-02-06,1182.907,105.834,NA,NA,NA
1965-02-07,1179.207,105.834,NA,NA,NA
1965-02-08,1175.506,104.418,NA,NA,NA
1965-02-09,1173.039,70.556,NA,NA,NA
1965-02-10,1174.273,111.686,NA,NA,NA
1965-02-11,1175.506,111.686,NA,NA,NA
1965-02-12,1174.273,105.787,NA,NA,NA
1965-02-13,1175.506,149.914,NA,NA,NA
1965-02-14,1168.106,115.957,NA,NA,NA
1965-02-15,1158.238,111.474,NA,NA,NA
1965-02-16,1147.136,96.348,NA,NA,NA
1965-02-17,1137.269,110.624,NA,NA,NA
1965-02-18,1126.167,109.09,NA,NA,NA
1965-02-19,1113.832,125.962,NA,NA,NA
1965-02-20,1097.797,97.575,NA,NA,NA
1965-02-21,1082.995,111.851,NA,NA,NA
1965-02-22,1066.96,97.575,NA,NA,NA
1965-02-23,1052.158,111.851,NA,NA,NA
