date,storage,inflow,outflow,elevation,evaporation
1961-10-01,0,NA,0,0,NA
1961-10-02,0,NA,0,0,NA
1961-10-03,0,NA,0,0,NA
1961-10-04,0,NA,0,0,NA
1961-10-05,0,NA,0,0,NA
1961-10-06,0,NA,0,0,NA
1961-10-07,0,NA,0,0,NA
1961-10-08,0,NA,0,0,NA
1961-10-09,0,NA,0,0,NA
1961-10-10,0,NA,0,0,NA
1961-10-11,0,NA,0,0,NA
1961-10-12,0,NA,0,0,NA
1961-10-13,0,NA,0,0,NA
1961-10-14,0,NA,0,0,NA
1961-10-15,0,NA,0,0,NA
1961-10-16,0,NA,0,0,NA
1961-10-17,0,NA,0,0,NA
1961-10-18,0,NA,0,0,NA
1961-10-19,0,NA,0,0,NA
1961-10-20,0,NA,0,0,NA
1961-10-21,0,NA,0,0,NA
1961-10-22,0,NA,0,0,NA
1961-10-23,0,NA,0,0,NA
1961-10-24,0,NA,0,0,NA
1961-10-25,0,NA,0,0,NA
1961-10-26,0,NA,0,0,NA
1961-10-27,0,NA,0,0,NA
1961-10-28,0,NA,0,0,NA
1961-10-29,0,NA,0,0,NA
1961-10-30,0,NA,0,0,NA
1961-10-31,0,NA,0,0,NA
1961-11-01,0.271,3.141,0,1934.901,NA
1961-11-02,0.281,0.114,0,1935.023,NA
1961-11-03,0.269,-0.143,0,1934.87,NA
1961-11-04,0.258,-0.129,0,1934.718,NA
1961-11-05,0.245,-0.143,0,1934.566,NA
1961-11-06,0.234,-0.129,0,1934.413,NA
1961-11-07,0.226,-0.1,0,1934.291,NA
1961-11-08,0.228,0.029,0,1934.27,NA
1961-11-09,0.223,-0.057,0,1934.246,NA
1961-11-10,0.212,-0.129,0,1934.398,NA
1961-11-11,0.245,0.385,0,1934.566,NA
1961-11-12,0.25,0.057,0,1934.617,NA
1961-11-13,0.255,0.057,0,1934.681,NA
1961-11-14,0.239,-0.185,0,1934.468,NA
1961-11-15,0.234,-0.057,0,1934.404,NA
1961-11-16,0.231,-0.043,0,1934.352,NA
1961-11-17,0.229,-0.014,0,1934.337,NA
1961-11-18,0.221,-0.1,0,1934.215,NA
1961-11-19,0.208,-0.143,0,1934.026,NA
1961-11-20,0.21,0.014,0,1934.041,NA
1961-11-21,0.21,0,0,1934.057,NA
1961-11-22,0.207,-0.029,0,1934.002,NA
1961-11-23,0.202,-0.057,0,1933.926,NA
1961-11-24,0.2,-0.029,0,1933.898,NA
1961-11-25,0.202,0.029,0,1933.922,NA
1961-11-26,0.206,0.043,0,1933.941,NA
1961-11-27,0.207,0.014,0,1933.959,NA
1961-11-28,0.208,0.014,0,1933.977,NA
1961-11-29,0.206,-0.029,0,1933.996,NA
1961-11-30,0.201,-0.057,0,1933.919,NA
1961-12-01,0.199,-0.029,0,1933.868,NA
1961-12-02,0.2,0.014,0,1933.843,NA
1961-12-03,0.196,-0.043,0,1933.819,NA
