date,storage,inflow,outflow,elevation,evaporation
2010-01-01,68.356,1.464,0.028,NA,NA
2010-01-02,68.439,0.985,0.028,NA,NA
2010-01-03,68.563,1.464,0.028,NA,NA
2010-01-04,68.604,0.507,0.028,NA,NA
2010-01-05,68.687,0.985,0.028,NA,NA
2010-01-06,68.77,0.985,0.028,NA,NA
2010-01-07,68.894,1.464,0.028,NA,NA
2010-01-08,68.976,0.985,0.028,NA,NA
2010-01-09,69.099,1.452,0.028,NA,NA
2010-01-10,69.223,1.464,0.028,NA,NA
2010-01-11,69.223,0.028,0.028,NA,NA
2010-01-12,69.306,0.985,0.028,NA,NA
2010-01-13,69.389,0.985,0.028,NA,NA
2010-01-14,69.471,0.985,0.028,NA,NA
2010-01-15,69.595,1.464,0.028,NA,NA
2010-01-16,69.637,0.514,0.028,NA,NA
2010-01-17,69.721,1,0.028,NA,NA
2010-01-18,69.847,1.485,0.028,NA,NA
2010-01-19,70.015,1.971,0.028,NA,NA
2010-01-20,70.182,1.959,0.028,NA,NA
2010-01-21,70.266,1,0.028,NA,NA
2010-01-22,70.391,1.485,0.028,NA,NA
2010-01-23,70.685,3.427,0.028,NA,NA
2010-01-24,70.895,2.456,0.028,NA,NA
2010-01-25,71.021,1.485,0.028,NA,NA
2010-01-26,71.439,4.872,0.028,NA,NA
2010-01-27,71.565,1.485,0.028,NA,NA
2010-01-28,71.861,3.455,0.028,NA,NA
2010-01-29,72.202,3.968,0.028,NA,NA
2010-01-30,72.371,1.986,0.028,NA,NA
2010-01-31,72.541,1.998,0.028,NA,NA
2010-02-01,72.711,1.998,0.028,NA,NA
2010-02-02,73.009,3.475,0.028,NA,NA
2010-02-03,73.179,1.998,0.028,NA,NA
2010-02-04,73.391,2.479,0.028,NA,NA
2010-02-05,73.689,3.475,0.028,NA,NA
2010-02-06,73.903,2.504,0.028,NA,NA
2010-02-07,74.162,3.024,0.028,NA,NA
2010-02-08,74.419,3.012,0.028,NA,NA
2010-02-09,74.721,3.523,0.028,NA,NA
2010-02-10,74.808,1.027,0.028,NA,NA
2010-02-11,74.98,2.026,0.028,NA,NA
2010-02-12,75.066,1.027,0.028,NA,NA
2010-02-13,75.239,2.026,0.028,NA,NA
2010-02-14,75.368,1.526,0.028,NA,NA
2010-02-15,75.626,3.012,0.028,NA,NA
2010-02-16,75.756,1.526,0.028,NA,NA
2010-02-17,75.842,1.027,0.028,NA,NA
2010-02-18,75.971,1.526,0.028,NA,NA
2010-02-19,76.147,2.058,0.028,NA,NA
2010-02-20,76.234,1.043,0.028,NA,NA
2010-02-21,76.366,1.55,0.028,NA,NA
2010-02-22,76.934,6.611,0.028,NA,NA
