date,storage,inflow,outflow,elevation,evaporation
1964-07-01,0,NA,0.198,685.343,NA
1964-07-02,0,0.198,0.198,685.343,NA
1964-07-03,0,0.198,0.198,685.343,NA
1964-07-04,0,0.198,0.198,685.19,NA
1964-07-05,0,0.198,0.198,684.886,NA
1964-07-06,0,0.198,0.198,684.886,NA
1964-07-07,0,0.198,0.198,684.886,NA
1964-07-08,0,0.17,0.17,684.886,NA
1964-07-09,0,0.142,0.142,684.886,NA
1964-07-10,0,0.113,0.113,684.581,NA
1964-07-11,0.059,0.94,0.255,689.153,NA
1964-07-12,0.793,10.986,2.492,691.286,NA
1964-07-13,0.485,-1.049,2.52,690.799,NA
1964-07-14,0.424,1.821,2.52,690.677,NA
1964-07-15,0.424,2.322,2.322,690.677,NA
1964-07-16,0.356,1.367,2.152,690.524,NA
1964-07-17,0.064,-1.741,1.642,689.214,NA
1964-07-18,0.007,-0.374,0.283,687.629,NA
1964-07-19,0.002,0.226,0.283,686.41,NA
1964-07-20,0.239,4.723,1.982,690.189,NA
1964-07-21,0.258,2.196,1.982,690.25,NA
1964-07-22,0.258,1.982,1.982,690.25,NA
1964-07-23,0.231,1.498,1.812,690.159,NA
1964-07-24,0.028,-0.869,1.472,688.543,NA
1964-07-25,0.002,0.097,0.396,686.41,NA
1964-07-26,0.002,0.396,0.396,686.41,NA
1964-07-27,0.002,0.396,0.396,686.41,NA
1964-07-28,0.002,0.396,0.396,686.41,NA
1964-07-29,0.002,0.396,0.396,686.41,NA
1964-07-30,0.002,0.396,0.396,686.41,NA
1964-07-31,0.002,0.396,0.396,686.41,NA
1964-08-01,0.002,0.17,0.17,686.41,NA
1964-08-02,0.002,0.142,0.142,686.41,NA
1964-08-03,0.002,0.142,0.142,686.41,NA
1964-08-04,0.002,0.113,0.113,686.41,NA
1964-08-05,0.002,0.113,0.113,686.41,NA
1964-08-06,0.002,0.113,0.113,686.41,NA
1964-08-07,0.002,0.085,0.085,686.41,NA
1964-08-08,0.002,0.085,0.085,686.41,NA
1964-08-09,0.002,0.085,0.085,686.41,NA
1964-08-10,0.002,0.085,0.085,686.41,NA
1964-08-11,0.002,0.085,0.085,686.41,NA
1964-08-12,0.002,0.085,0.085,686.41,NA
1964-08-13,0.002,0.085,0.085,686.41,NA
1964-08-14,0.002,0.085,0.085,686.41,NA
1964-08-15,0.002,0.085,0.085,686.41,NA
1964-08-16,0.002,0.085,0.085,686.41,NA
1964-08-17,0.002,0.085,0.085,686.41,NA
1964-08-18,0.002,0.085,0.085,686.41,NA
1964-08-19,0.002,0.085,0.085,686.41,NA
1964-08-20,0.002,0.085,0.085,686.41,NA
1964-08-21,0.002,0.085,0.085,686.41,NA
1964-08-22,0.002,0.085,0.085,686.41,NA
1964-08-23,0.002,0.085,0.085,686.41,NA
1964-08-24,0.002,0.085,0.085,686.41,NA
1964-08-25,0.002,0.085,0.085,686.41,NA
1964-08-26,0.002,0.085,0.085,686.41,NA
1964-08-27,0.002,0.085,0.085,686.41,NA
1964-08-28,0.002,0.085,0.085,686.41,NA
1964-08-29,0.002,0.085,0.085,686.41,NA
1964-08-30,0.002,0.085,0.085,686.41,NA
1964-08-31,0.002,0.085,0.085,686.41,NA
1964-09-01,0.002,0.085,0.085,686.41,NA
1964-09-02,0.002,0.085,0.085,686.41,NA
1964-09-03,0.002,0.085,0.085,686.41,NA
1964-09-04,0.002,0.085,0.085,686.41,NA
1964-09-05,0.002,0.085,0.085,686.41,NA
