date,storage,inflow,outflow,evaporation,elevation
1954-03-02,0,NA,0.368,NA,NA
1954-03-03,0,NA,0.34,NA,NA
1954-03-04,0,NA,0.34,NA,NA
1954-03-05,0,NA,0.481,NA,NA
1954-03-06,0,NA,0.538,NA,NA
1954-03-07,0,NA,0.538,NA,NA
1954-03-08,0,NA,0.481,NA,NA
1954-03-09,0.386,NA,0.113,NA,NA
1954-03-10,0.558,NA,0.057,NA,NA
1954-03-11,0.583,NA,0.028,NA,NA
1954-03-12,0.612,NA,0.025,NA,NA
1954-03-13,0.646,NA,0.014,NA,NA
1954-03-14,0.669,NA,0.011,NA,NA
1954-03-15,0.698,NA,0.006,NA,NA
1954-03-16,0.713,NA,0.003,NA,NA
1954-03-17,0.728,NA,0,NA,NA
1954-03-18,0.751,NA,0,NA,NA
1954-03-19,0.751,NA,0,NA,NA
1954-03-20,0.781,NA,0,NA,NA
1954-03-21,0.797,NA,0,NA,NA
1954-03-22,0.804,NA,0,NA,NA
1954-03-23,0.82,NA,0,NA,NA
1954-03-24,0.82,NA,0,NA,NA
1954-03-25,0.829,NA,0,NA,NA
1954-03-26,0.854,NA,0,NA,NA
1954-03-27,0.87,NA,0.368,NA,NA
1954-03-28,0.87,NA,0,NA,NA
1954-03-29,0.87,NA,0,NA,NA
1954-03-30,0.87,NA,0,NA,NA
1954-03-31,0.886,NA,0,NA,NA
1954-04-01,0.877,NA,0,NA,NA
1954-04-02,0.886,NA,0,NA,NA
1954-04-03,0.894,NA,0,NA,NA
1954-04-04,0.904,NA,0,NA,NA
1954-04-05,0.913,NA,0,NA,NA
1954-04-06,0.968,NA,0,NA,NA
1954-04-07,1.019,NA,0,NA,NA
1954-04-08,1.05,NA,0.068,NA,NA
1954-04-09,1.06,NA,0.017,NA,NA
1954-04-10,1.071,NA,0.068,NA,NA
1954-04-11,1.081,NA,0.181,NA,NA
1954-04-12,1.081,NA,0.003,NA,NA
1954-04-13,1.081,NA,0,NA,NA
1954-04-14,1.081,NA,0,NA,NA
1954-04-15,1.092,NA,0.031,NA,NA
1954-04-16,1.092,NA,0.068,NA,NA
1954-04-17,1.173,NA,0.091,NA,NA
1954-04-18,1.246,NA,0.147,NA,NA
1954-04-19,2.886,NA,0.181,NA,NA
1954-04-20,6.118,NA,0.116,NA,NA
1954-04-21,7.586,NA,0.091,NA,NA
1954-04-22,8.03,NA,0.048,NA,NA
1954-04-23,8.412,NA,0.003,NA,NA
1954-04-24,8.573,NA,0,NA,NA
1954-04-25,8.659,NA,0,NA,NA
1954-04-26,8.659,NA,0.003,NA,NA
1954-04-27,8.745,NA,0.008,NA,NA
1954-04-28,8.745,NA,0.068,NA,NA
1954-04-29,8.906,NA,0.068,NA,NA
1954-04-30,8.992,NA,0.181,NA,NA
1954-05-01,9.165,NA,0,NA,NA
1954-05-02,10.275,NA,0,NA,NA
1954-05-03,10.793,NA,0,NA,NA
1954-05-04,11.003,NA,0,NA,NA
1954-05-05,11.656,NA,0,NA,NA
1954-05-06,12.581,NA,0,NA,NA
1954-05-07,12.828,NA,0,NA,NA
1954-05-08,12.952,NA,0,NA,NA
1954-05-09,13.075,NA,0,NA,NA
1954-05-10,13.198,NA,0.003,NA,NA
1954-05-11,13.198,NA,0.218,NA,NA
1954-05-12,13.445,NA,0.181,NA,NA
1954-05-13,15.048,NA,0.048,NA,NA
1954-05-14,15.628,NA,0.048,NA,NA
1954-05-15,15.776,NA,0.068,NA,NA
1954-05-16,15.924,NA,0.068,NA,NA
1954-05-17,15.924,NA,0.031,NA,NA
1954-05-18,16.072,NA,0.017,NA,NA
1954-05-19,16.208,NA,0.017,NA,NA
1954-05-20,16.356,NA,0,NA,NA
1954-05-21,16.664,NA,0,NA,NA
1954-05-22,16.664,NA,0,NA,NA
1954-05-23,16.825,NA,0,NA,NA
1954-05-24,16.825,NA,0,NA,NA
1954-05-25,16.825,NA,0,NA,NA
1954-05-26,16.825,NA,0.031,NA,NA
1954-05-27,16.825,NA,0.031,NA,NA
1954-05-28,16.825,NA,0,NA,NA
1954-05-29,16.825,NA,0,NA,NA
1954-05-30,16.825,NA,0,NA,NA
1954-05-31,16.825,NA,0,NA,NA
1954-06-01,16.973,NA,0,NA,NA
1954-06-02,16.973,NA,0,NA,NA
1954-06-03,16.973,NA,0,NA,NA
1954-06-04,16.973,NA,0,NA,NA
1954-06-05,17.133,NA,0,NA,NA
1954-06-06,17.133,NA,0,NA,NA
1954-06-07,17.133,NA,0,NA,NA
1954-06-08,16.973,NA,0,NA,NA
1954-06-09,16.825,NA,0,NA,NA
1954-06-10,16.825,NA,0.008,NA,NA
1954-06-11,16.825,NA,0.003,NA,NA
1954-06-12,16.825,NA,0,NA,NA
1954-06-13,16.664,NA,0,NA,NA
1954-06-14,16.504,NA,0,NA,NA
1954-06-15,16.356,NA,0,NA,NA
1954-06-16,16.356,NA,0,NA,NA
1954-06-17,16.356,NA,0,NA,NA
1954-06-18,16.208,NA,0,NA,NA
1954-06-19,16.208,NA,0,NA,NA
1954-06-20,16.072,NA,0,NA,NA
1954-06-21,16.072,NA,0,NA,NA
1954-06-22,16.072,NA,0,NA,NA
1954-06-23,15.924,NA,0,NA,NA
1954-06-24,15.924,NA,0.003,NA,NA
1954-06-25,15.924,NA,0.031,NA,NA
1954-06-26,15.776,NA,0,NA,NA
1954-06-27,15.628,NA,0,NA,NA
1954-06-28,15.628,NA,0,NA,NA
1954-06-29,15.48,NA,0,NA,NA
1954-06-30,15.48,NA,0,NA,NA
1954-07-01,15.344,NA,0,NA,NA
1954-07-02,15.344,NA,0,NA,NA
1954-07-03,15.196,NA,0,NA,NA
1954-07-04,15.048,NA,0,NA,NA
1954-07-05,14.913,NA,0,NA,NA
1954-07-06,14.913,NA,0,NA,NA
1954-07-07,14.777,NA,0,NA,NA
1954-07-08,14.777,NA,0,NA,NA
1954-07-09,14.641,NA,0,NA,NA
1954-07-10,14.641,NA,0,NA,NA
1954-07-11,14.506,NA,0,NA,NA
1954-07-12,14.506,NA,0,NA,NA
1954-07-13,14.37,NA,0.017,NA,NA
1954-07-14,14.37,NA,0,NA,NA
1954-07-15,14.234,NA,0,NA,NA
1954-07-16,14.234,NA,0,NA,NA
1954-07-17,14.099,NA,0,NA,NA
1954-07-18,13.963,NA,0.031,NA,NA
1954-07-19,13.963,NA,0.091,NA,NA
1954-07-20,13.827,NA,0.031,NA,NA
1954-07-21,13.827,NA,0,NA,NA
1954-07-22,13.692,NA,0,NA,NA
1954-07-23,13.692,NA,0,NA,NA
1954-07-24,13.692,NA,0,NA,NA
1954-07-25,13.568,NA,0.008,NA,NA
1954-07-26,13.568,NA,0.048,NA,NA
1954-07-27,13.445,NA,0,NA,NA
1954-07-28,13.445,NA,0,NA,NA
1954-07-29,13.322,NA,0,NA,NA
1954-07-30,13.322,NA,0,NA,NA
1954-07-31,13.198,NA,0,NA,NA
1954-08-01,13.198,NA,0.091,NA,NA
1954-08-02,13.198,NA,0.031,NA,NA
1954-08-03,13.075,NA,0.031,NA,NA
1954-08-04,12.952,NA,0.017,NA,NA
1954-08-05,12.952,NA,0,NA,NA
1954-08-06,12.828,NA,0,NA,NA
1954-08-07,12.828,NA,0,NA,NA
1954-08-08,12.705,NA,0.311,NA,NA
1954-08-09,12.581,NA,0.258,NA,NA
1954-08-10,12.458,NA,0.258,NA,NA
1954-08-11,12.224,NA,0.311,NA,NA
1954-08-12,12.224,NA,0.311,NA,NA
1954-08-13,12.224,NA,0,NA,NA
1954-08-14,12.224,NA,0,NA,NA
1954-08-15,12.113,NA,0,NA,NA
1954-08-16,12.113,NA,0,NA,NA
1954-08-17,11.989,NA,0,NA,NA
1954-08-18,11.989,NA,0,NA,NA
1954-08-19,11.989,NA,0,NA,NA
1954-08-20,11.878,NA,0,NA,NA
1954-08-21,11.878,NA,0,NA,NA
1954-08-22,11.767,NA,0,NA,NA
1954-08-23,11.656,NA,0,NA,NA
1954-08-24,11.656,NA,0,NA,NA
1954-08-25,11.533,NA,0,NA,NA
1954-08-26,11.533,NA,0,NA,NA
1954-08-27,11.533,NA,0,NA,NA
1954-08-28,11.533,NA,0,NA,NA
1954-08-29,11.422,NA,0,NA,NA
1954-08-30,11.311,NA,0.003,NA,NA
1954-08-31,11.311,NA,0.008,NA,NA
1954-09-01,11.212,NA,0.048,NA,NA
1954-09-02,11.212,NA,0.091,NA,NA
1954-09-03,11.101,NA,0.025,NA,NA
1954-09-04,11.101,NA,0,NA,NA
1954-09-05,11.101,NA,0,NA,NA
1954-09-06,11.003,NA,0,NA,NA
1954-09-07,11.003,NA,0,NA,NA
1954-09-08,10.892,NA,0,NA,NA
1954-09-09,10.793,NA,0,NA,NA
1954-09-10,10.793,NA,0,NA,NA
1954-09-11,10.694,NA,0,NA,NA
1954-09-12,10.694,NA,0,NA,NA
1954-09-13,10.583,NA,0,NA,NA
1954-09-14,10.583,NA,0,NA,NA
1954-09-15,10.485,NA,0,NA,NA
1954-09-16,10.485,NA,0,NA,NA
1954-09-17,10.374,NA,0,NA,NA
1954-09-18,10.374,NA,0,NA,NA
1954-09-19,10.374,NA,0,NA,NA
1954-09-20,10.275,NA,0,NA,NA
1954-09-21,10.275,NA,0,NA,NA
1954-09-22,10.176,NA,0,NA,NA
1954-09-23,10.09,NA,0,NA,NA
1954-09-24,10.09,NA,0.048,NA,NA
1954-09-25,10.09,NA,0,NA,NA
1954-09-26,10.09,NA,0,NA,NA
1954-09-27,9.991,NA,0,NA,NA
1954-09-28,9.905,NA,0,NA,NA
1954-09-29,9.905,NA,0,NA,NA
1954-09-30,9.806,NA,0,NA,NA
1954-10-01,9.905,NA,0,NA,NA
1954-10-02,9.806,NA,0.048,NA,NA
1954-10-03,9.806,NA,0.091,NA,NA
1954-10-04,9.806,NA,0.048,NA,NA
1954-10-05,9.707,NA,0.048,NA,NA
1954-10-06,9.707,NA,0.031,NA,NA
1954-10-07,9.707,NA,0.031,NA,NA
1954-10-08,9.707,NA,0.068,NA,NA
1954-10-09,9.707,NA,0.048,NA,NA
1954-10-10,9.707,NA,0.048,NA,NA
1954-10-11,9.621,NA,0.017,NA,NA
1954-10-12,9.621,NA,0.017,NA,NA
1954-10-13,9.621,NA,0.017,NA,NA
1954-10-14,9.621,NA,0,NA,NA
1954-10-15,9.522,NA,0,NA,NA
1954-10-16,9.522,NA,0.008,NA,NA
1954-10-17,10.275,NA,0,NA,NA
1954-10-18,11.212,NA,0,NA,NA
1954-10-19,11.533,NA,0,NA,NA
1954-10-20,11.767,NA,0,NA,NA
1954-10-21,11.767,NA,0,NA,NA
1954-10-22,11.767,NA,0.266,NA,NA
1954-10-23,11.656,NA,1.189,NA,NA
1954-10-24,11.533,NA,0.595,NA,NA
1954-10-25,11.533,NA,0.068,NA,NA
1954-10-26,11.533,NA,0,NA,NA
1954-10-27,11.533,NA,0,NA,NA
1954-10-28,11.533,NA,0,NA,NA
1954-10-29,11.533,NA,0,NA,NA
1954-10-30,11.422,NA,0,NA,NA
1954-10-31,11.422,NA,0,NA,NA
1954-11-01,11.422,NA,0,NA,NA
1954-11-02,11.311,NA,0,NA,NA
1954-11-03,11.311,NA,0,NA,NA
1954-11-04,11.311,NA,0,NA,NA
1954-11-05,11.212,NA,0.031,NA,NA
1954-11-06,11.212,NA,0.031,NA,NA
1954-11-07,11.212,NA,0.031,NA,NA
1954-11-08,11.212,NA,0.031,NA,NA
1954-11-09,11.212,NA,0.048,NA,NA
1954-11-10,11.311,NA,0.091,NA,NA
1954-11-11,11.422,NA,0.068,NA,NA
1954-11-12,11.533,NA,0.048,NA,NA
1954-11-13,11.533,NA,0.031,NA,NA
1954-11-14,11.533,NA,0.147,NA,NA
1954-11-15,11.878,NA,0.091,NA,NA
1954-11-16,12.705,NA,0.068,NA,NA
1954-11-17,13.198,NA,0.048,NA,NA
1954-11-18,13.322,NA,0.068,NA,NA
1954-11-19,14.099,NA,0.068,NA,NA
1954-11-20,15.344,NA,0.008,NA,NA
1954-11-21,16.664,NA,0,NA,NA
1954-11-22,17.293,NA,0,NA,NA
1954-11-23,17.614,NA,0,NA,NA
1954-11-24,17.762,NA,0,NA,NA
1954-11-25,17.922,NA,0,NA,NA
1954-11-26,18.083,NA,0,NA,NA
1954-11-27,18.083,NA,0,NA,NA
1954-11-28,18.083,NA,0,NA,NA
1954-11-29,18.083,NA,0,NA,NA
1954-11-30,18.083,NA,0,NA,NA
1954-12-01,17.922,NA,0,NA,NA
1954-12-02,17.922,NA,0,NA,NA
1954-12-03,17.922,NA,0,NA,NA
1954-12-04,17.922,NA,0,NA,NA
1954-12-05,17.922,NA,0,NA,NA
1954-12-06,17.762,NA,0,NA,NA
1954-12-07,17.762,NA,0,NA,NA
1954-12-08,17.762,NA,0,NA,NA
1954-12-09,17.762,NA,0.003,NA,NA
1954-12-10,17.762,NA,0.017,NA,NA
1954-12-11,17.614,NA,0.068,NA,NA
1954-12-12,17.614,NA,0.068,NA,NA
1954-12-13,17.454,NA,0.068,NA,NA
1954-12-14,17.454,NA,0.068,NA,NA
1954-12-15,17.454,NA,0.031,NA,NA
