free_right,free_left,ego_speed,during_change,distance_front,distance_back,speed_front,speed_back,occup_front,occup_back,ego_lanes,action,free_right',free_left',ego_speed',during_change',distance_front',distance_back',speed_front',speed_back',occup_front',occup_back',ego_lanes',r_deltaspeed,r_freeright,r_lanechange,r_safetyviolation,r_distancefront,r_jerk,done
1.0,0.0,0.30880512182564257,0.0,[3.14021480e-04 5.44832042e-01 1.00000000e+00],[0.30773771 1.         1.        ],[0.84870063 0.783535   1.        ],[0.81479802 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],0,1.0,0.0,0.31534106953806085,0.0,[0.01516907 0.55786591 1.        ],[0.29384829 1.         1.        ],[0.84934598 0.78387886 1.        ],[0.81463396 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],-0.6846589304619393,-1,0,0,0.0,-0.0,False
1.0,0.0,0.31534106953806085,0.0,[0.01516907 0.55786591 1.        ],[0.29384829 1.         1.        ],[0.84934598 0.78387886 1.        ],[0.81463396 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],0,1.0,0.0,0.3218770172504791,0.0,[0.02981896 0.57067554 1.        ],[0.28008256 1.         1.        ],[0.8485073  0.78235371 1.        ],[0.81672373 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],-0.6781229827495208,-1,0,0,0.0,-0.0,False
1.0,0.0,0.3218770172504791,0.0,[0.02981896 0.57067554 1.        ],[0.28008256 1.         1.        ],[0.8485073  0.78235371 1.        ],[0.81672373 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],0,1.0,0.0,0.3284129649628974,0.0,[0.04422889 0.58335157 1.        ],[0.26650495 1.         1.        ],[0.84641674 0.78408728 1.        ],[0.81649689 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],-0.6715870350371027,-1,0,0,0.0,-0.0,False
1.0,0.0,0.3284129649628974,0.0,[0.04422889 0.58335157 1.        ],[0.26650495 1.         1.        ],[0.84641674 0.78408728 1.        ],[0.81649689 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],2,0.0,0.0,0.3349489126753157,1.0,[0.05853456 0.595791   1.        ],[0.25314928 1.         1.        ],[0.84920501 0.78211817 1.        ],[0.81505461 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],-0.6650510873246842,0,-1,0,0.0,-0.0,False
0.0,0.0,0.3349489126753157,1.0,[0.05853456 0.595791   1.        ],[0.25314928 1.         1.        ],[0.84920501 0.78211817 1.        ],[0.81505461 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],2,0.0,0.0,0.34148486038773396,1.0,[0.07260407 0.60801896 1.        ],[0.23990659 1.         1.        ],[0.8472518  0.78105195 1.        ],[0.81752925 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],-0.6585151396122662,0,0,-1,0.0,-0.0,False
0.0,0.0,0.34148486038773396,1.0,[0.07260407 0.60801896 1.        ],[0.23990659 1.         1.        ],[0.8472518  0.78105195 1.        ],[0.81752925 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],2,0.0,0.0,0.34802080810015223,1.0,[0.08655471 0.62006584 1.        ],[0.22692166 1.         1.        ],[0.84951425 0.78107849 1.        ],[0.81479934 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],-0.6519791918998477,0,0,-1,0.0,-0.0,False
0.0,0.0,0.34802080810015223,1.0,[0.08655471 0.62006584 1.        ],[0.22692166 1.         1.        ],[0.84951425 0.78107849 1.        ],[0.81479934 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],2,0.0,0.0,0.3545567558125705,1.0,[0.1002242  0.63195963 1.        ],[0.21402169 1.         1.        ],[0.84594375 0.78211155 1.        ],[0.81828131 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],-0.6454432441874296,0,0,-1,0.0,-0.0,False
0.0,0.0,0.3545567558125705,1.0,[0.1002242  0.63195963 1.        ],[0.21402169 1.         1.        ],[0.84594375 0.78211155 1.        ],[0.81828131 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],0,0.0,0.0,0.3610927035249888,1.0,[0.11371628 0.64372176 1.        ],[0.20136944 1.         1.        ],[0.84610202 0.78391437 1.        ],[0.81591204 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],-0.6389072964750111,0,0,0,0.0,-0.0,False
0.0,0.0,0.3610927035249888,1.0,[0.11371628 0.64372176 1.        ],[0.20136944 1.         1.        ],[0.84610202 0.78391437 1.        ],[0.81591204 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],0,0.0,0.0,0.36762865123740707,1.0,[0.12703116 0.65525228 1.        ],[0.18888454 1.         1.        ],[0.84626808 0.78212426 1.        ],[0.81643222 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],-0.632371348762593,0,0,0,0.0,-0.0,False
0.0,0.0,0.36762865123740707,1.0,[0.12703116 0.65525228 1.        ],[0.18888454 1.         1.        ],[0.84626808 0.78212426 1.        ],[0.81643222 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],0,0.0,0.0,0.37416459894982534,1.0,[0.14023241 0.66657983 1.        ],[0.17653282 1.         1.        ],[0.84871959 0.78136411 1.        ],[0.81818068 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0.        0.0125448 0.9874552],-0.6258354010501745,0,0,0,0.0,-0.0,False
