free_right,free_left,ego_speed,during_change,distance_front,distance_back,speed_front,speed_back,occup_front,occup_back,ego_lanes,action,free_right',free_left',ego_speed',during_change',distance_front',distance_back',speed_front',speed_back',occup_front',occup_back',ego_lanes',r_deltaspeed,r_freeright,r_lanechange,r_safetyviolation,r_distancefront,r_jerk,done
1.0,1.0,0.8110930739606736,0.0,[0.53763037 0.81487208 1.        ],[0.45805069 1.         1.        ],[0.84747808 0.78391214 1.        ],[0.78421653 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 1. 0.],0,1.0,1.0,0.8176290216730919,0.0,[0.53840609 0.81393809 1.        ],[0.45898341 1.         1.        ],[0.84551439 0.78405439 1.        ],[0.78409984 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 1. 0.],-0.1823709783269081,-1,0,0,-0.18606190574413495,-0.4999999999999982,False
1.0,1.0,0.8176290216730919,0.0,[0.53840609 0.81393809 1.        ],[0.45898341 1.         1.        ],[0.84551439 0.78405439 1.        ],[0.78409984 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 1. 0.],0,1.0,1.0,0.8241649693855102,0.0,[0.53910037 0.8128079  1.        ],[0.46014002 1.         1.        ],[0.84912269 0.78353698 1.        ],[0.78258747 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 1. 0.],-0.17583503061448982,-1,0,0,-0.1871921026207165,-0.0,False
1.0,1.0,0.8241649693855102,0.0,[0.53910037 0.8128079  1.        ],[0.46014002 1.         1.        ],[0.84912269 0.78353698 1.        ],[0.78258747 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 1. 0.],0,1.0,1.0,0.8307009170979285,0.0,[0.53957984 0.81147157 1.        ],[0.46151367 1.         1.        ],[0.84793679 0.78266301 1.        ],[0.78132134 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 1. 0.],-0.16929908290207155,-1,0,0,-0.18852842979172468,-0.0,False
1.0,1.0,0.8307009170979285,0.0,[0.53957984 0.81147157 1.        ],[0.46151367 1.         1.        ],[0.84793679 0.78266301 1.        ],[0.78132134 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 1. 0.],0,1.0,1.0,0.8372368648103468,0.0,[0.53990877 0.80998253 1.        ],[0.46305728 1.         1.        ],[0.84906086 0.78370912 1.        ],[0.78174762 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 1. 0.],-0.16276313518965327,-1,0,0,-0.19001747429352323,-0.0,False
1.0,1.0,0.8372368648103468,0.0,[0.53990877 0.80998253 1.        ],[0.46305728 1.         1.        ],[0.84906086 0.78370912 1.        ],[0.78174762 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 1. 0.],0,1.0,1.0,0.843772812522765,0.0,[0.53995565 0.80830255 1.        ],[0.46476011 1.         1.        ],[0.84545804 0.78338169 1.        ],[0.7825601 0.        0.       ],[1. 1. 0.],[1. 0. 0.],[0. 1. 0.],-0.156227187477235,-1,0,0,-0.1916974455101752,-0.0,False
1.0,1.0,0.843772812522765,0.0,[0.53995565 0.80830255 1.        ],[0.46476011 1.         1.        ],[0.84545804 0.78338169 1.        ],[0.7825601 0.        0.       ],[1. 1. 0.],[1. 0. 0.],[0. 1. 0.],0,1.0,1.0,0.8503087602351833,0.0,[0.53987916 0.80644153 1.        ],[0.4666268 1.        1.       ],[0.84755913 0.78340914 1.        ],[0.78320523 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 1. 0.],-0.1496912397648167,-1,0,0,-0.19355847119104874,-0.0,False
1.0,1.0,0.8503087602351833,0.0,[0.53987916 0.80644153 1.        ],[0.4666268 1.        1.       ],[0.84755913 0.78340914 1.        ],[0.78320523 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 1. 0.],0,1.0,1.0,0.8568447079476016,0.0,[0.53967382 0.80438364 1.        ],[0.46870065 1.         1.        ],[0.84946316 0.78286835 1.        ],[0.78229475 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 1. 0.],-0.14315529205239844,-1,0,0,-0.19561635886605533,-0.0,False
1.0,1.0,0.8568447079476016,0.0,[0.53967382 0.80438364 1.        ],[0.46870065 1.         1.        ],[0.84946316 0.78286835 1.        ],[0.78229475 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 1. 0.],0,1.0,1.0,0.8633806556600199,0.0,[0.53926524 0.80217416 1.        ],[0.47092003 1.         1.        ],[0.84869319 0.78395474 1.        ],[0.78359884 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 1. 0.],-0.13661934433998016,-1,0,0,-0.19782584348499777,-0.0,False
1.0,1.0,0.8633806556600199,0.0,[0.53926524 0.80217416 1.        ],[0.47092003 1.         1.        ],[0.84869319 0.78395474 1.        ],[0.78359884 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 1. 0.],0,1.0,1.0,0.8699166033724381,0.0,[0.53860834 0.79975571 1.        ],[0.47332852 1.         1.        ],[0.8463027  0.78297881 1.        ],[0.78333716 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 1. 0.],-0.13008339662756188,-1,0,0,-0.20024429474434113,-0.0,False
1.0,1.0,0.8699166033724381,0.0,[0.53860834 0.79975571 1.        ],[0.47332852 1.         1.        ],[0.8463027  0.78297881 1.        ],[0.78333716 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 1. 0.],0,1.0,1.0,0.8764525510848564,0.0,[0.53777719 0.79714438 1.        ],[0.47597179 1.         1.        ],[0.84657445 0.78258126 1.        ],[0.78143283 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 1. 0.],-0.12354744891514362,-1,0,0,-0.20285562328773243,-0.0,False
